RBP	SRA	TxCount	RNAse	Reads	T2Cfraction	RedundantSeqFraction	RedundantCopyFraction	UniqueReads	ConversionSpecificity	QC	Name
NUDT21	SRR488726	5334	T1	2487677	0.690733051883847	0.0449859687949427	0.0779494797524751	11.0072255438239	0.54380596192908	pass	NUDT21_SRR488726
ORF1	SRR653237	3762	T1	2244258	0.598516178278653	0.541308978925493	0.79405780992545	6.3446659583776	0.289959697221641	pass	ORF1_SRR653237
ORF1	SRR653238	4185	T1	2628401	0.594190635993264	0.587692972017017	0.826866674949498	6.4762353054771	0.278171689508316	pass	ORF1_SRR653238
P53_NONO	P53_NONO	278	T1	348027	0.779261891486055	0.564186280608626	0.759459587163176	15.1052083333333	0.605065776089479	pass	P53_NONO_P53_NONO
P54_TP53	P54_TP53	525	T1	121100	0.589300245345009	0.391108139920604	0.641161256121694	30.461738002594	0.343164238254708	pass	P54_TP53_P54_TP53
PAPD5	SRR452496	361	T1	195836	0.547965161552254	0.420484214927164	0.678185637664585	49.0902356902357	0.258513928257863	pass	PAPD5_SRR452496
PUM2	SRR048967	947	T1	48429	0.802049544694129	0.787087267269013	0.944387068714576	9.80212483399734	0.986004127224287	pass	PUM2_SRR048967
PUM2	SRR048968	1539	T1	137523	0.829286708487872	0.479384230678633	0.72933696021249	12.1805380940407	0.786048585436397	pass	PUM2_SRR048968
QKI	SRR048969	223	T1	45232	0.66359872735603	0.699886783610088	0.905410947702995	11.7400265957447	0.554470123472485	pass	QKI_SRR048969
QKI	SRR048970	220	T1	44455	0.702615559404919	0.74062789001289	0.915800946062391	10.0049413218036	0.666964534331198	pass	QKI_SRR048970
RBM10	SRR771562	4965	T1	2664775	0.868545782980761	0.90801288130191	0.971756235885464	5.35959173635022	1.05092128182603	pass	RBM10_SRR771562
RBM10	SRR771563	5807	T1	5773112	0.796361502809262	0.512350097490005	0.69914928888086	8.32524055021841	0.792310275716973	pass	RBM10_SRR771563
RBM20	ERR669914	2816	T1	756216	0.856024424213143	0.871861024059905	0.95921431960154	5.90075485707214	0.949621526116337	pass	RBM20_ERR669914
RBM20	ERR669915	1426	T1	217607	0.555448017266	0.711299573261275	0.940655233958696	31.2990088105727	0.577652626349742	pass	RBM20_ERR669915
RBPMS	SRR1188147	3223	T1	459975	0.672200287717475	0.795041083861005	0.960012553981179	11.195979601518	0.86254170857143	pass	RBPMS_SRR1188147
RBPMS	SRR1188166	2906	T1	570047	0.810064977096486	0.509973838376356	0.72899457813114	9.84884726224784	0.726840910612141	pass	RBPMS_SRR1188166
RTCB	SRR500482	592	T1	113121	0.720570302540106	0.326203229133297	0.506060297007821	9.74370503597122	0.585678530390338	pass	RTCB_SRR500482
RTCB	SRR500483	2649	T1	171531	0.742340531371062	0.783275363771987	0.956771661869736	15.9732441471572	0.840276188854502	pass	RTCB_SRR500483
SRRM4	SRR1269758	6195	I	3282086	0.59207011995174	0.650168252788746	0.928707226690679	13.022364052809	0.76927289404313	pass	SRRM4_SRR1269758
SSB	SRR4301753	2898	T1	1548880	0.624684833838479	0.297324991154571	0.515784311173189	93.3752064599009	0.539981684342271	pass	SSB_SRR4301753
TAF15	SRR070462	1575	T1	406238	0.804492115935633	0.569897512890036	0.748439302942163	7.47545480796997	0.67677735935152	pass	TAF15_SRR070462
TARDBP	DRR014100	2953	T1	763546	0.570217958465275	0.383330266952251	0.948197137899767	20.996703749485	1.20041120593257	pass	TARDBP_DRR014100
UPF1	SRR921447	713	T1	163993	0.827281982876018	0.774888735387283	0.904313114795133	6.68128474366893	0.804099604486767	pass	UPF1_SRR921447
XPO5	XPO5	2792	T1	320454	0.848980452857525	0.311570940650425	0.528788972074494	8.74854439592431	0.832547146049614	pass	XPO5_XPO5
ZC3H7B	SRR500486	571	T1	690720	0.87154133239894	0.709485109500629	0.849289707529194	6.29275270184361	0.768788632234211	pass	ZC3H7B_SRR500486
ZC3H7B	SRR500487	5105	T1	2541767	0.825094628223136	0.483613407386165	0.684142503810906	8.01568920433321	0.78152027850263	pass	ZC3H7B_SRR500487
ZFP36	SRR1046759	1022	T1	204734	0.73941297169961	0.309843429179412	0.502846205023393	20.2241228070175	0.610584804130197	pass	ZFP36_SRR1046759
